country;region;year;decile;share
Argentina;EPHC;2006;ratio_10_1;26,362742
Argentina;EPHC;2006;ratio_10_1;25,739426
Argentina;EPHC;2007;d1;1,4000498
Argentina;EPHC;2007;d1;1,4342595
Argentina;EPHC;2007;d10;32,630477
Argentina;EPHC;2007;d10;33,695149
Argentina;EPHC;2007;d2;2,6985097
Argentina;EPHC;2007;d2;2,6821384
Argentina;EPHC;2007;d3;3,8363049
Argentina;EPHC;2007;d3;3,7233733
Argentina;EPHC;2007;d4;5,0383832
Argentina;EPHC;2007;d4;4,9357749
Argentina;EPHC;2007;d5;6,3821808
Argentina;EPHC;2007;d5;6,296177
Argentina;EPHC;2007;d6;7,9817869
Argentina;EPHC;2007;d6;7,8858969
Argentina;EPHC;2007;d7;9,9706958
Argentina;EPHC;2007;d7;9,9042128
Argentina;EPHC;2007;d8;12,778515
Argentina;EPHC;2007;d8;12,508446
Argentina;EPHC;2007;d9;17,283097
Argentina;EPHC;2007;d9;16,934572
Argentina;EPHC;2007;ratio_10_1;23,303639
Argentina;EPHC;2007;ratio_10_1;23,490111
Argentina;EPHC;2008;d1;1,3964898
Argentina;EPHC;2008;d1;1,4361716
Argentina;EPHC;2008;d10;31,864837
Argentina;EPHC;2008;d10;32,439267
Argentina;EPHC;2008;d2;2,8038921
Argentina;EPHC;2008;d2;2,7878637
Argentina;EPHC;2008;d3;3,9912769
Argentina;EPHC;2008;d3;3,9485279
Argentina;EPHC;2008;d4;5,2632706
Argentina;EPHC;2008;d4;5,1501038
Argentina;EPHC;2008;d5;6,5899484
Argentina;EPHC;2008;d5;6,4643513
Argentina;EPHC;2008;d6;8,1692507
Argentina;EPHC;2008;d6;8,0353468
Argentina;EPHC;2008;d7;10,191009
Argentina;EPHC;2008;d7;9,9901814
Argentina;EPHC;2008;d8;12,806593
Argentina;EPHC;2008;d8;12,737064
Argentina;EPHC;2008;d9;16,923433
Argentina;EPHC;2008;d9;17,011122
Argentina;EPHC;2008;ratio_10_1;22,816164
Argentina;EPHC;2008;ratio_10_1;22,580707
Argentina;EPHC;2009;d1;1,4136043
Argentina;EPHC;2009;d1;1,4791838
Argentina;EPHC;2009;d10;32,116401
Argentina;EPHC;2009;d10;31,283877
Argentina;EPHC;2009;d2;2,8090324
Argentina;EPHC;2009;d2;2,864826
Argentina;EPHC;2009;d3;3,9837008
Argentina;EPHC;2009;d3;4,0800278
Argentina;EPHC;2009;d4;5,2053389
Argentina;EPHC;2009;d4;5,3196046
Argentina;EPHC;2009;d5;6,5641208
Argentina;EPHC;2009;d5;6,6989456
Argentina;EPHC;2009;d6;8,1276239
Argentina;EPHC;2009;d6;8,2571631
Argentina;EPHC;2009;d7;10,076931
Argentina;EPHC;2009;d7;10,160817
Argentina;EPHC;2009;d8;12,682426
Argentina;EPHC;2009;d8;12,803066
Argentina;EPHC;2009;d9;17,020822
Argentina;EPHC;2009;d9;17,052489
Argentina;EPHC;2009;ratio_10_1;22,712261
Argentina;EPHC;2009;ratio_10_1;21,147296
Argentina;EPHC;2010;d1;1,5631193
Argentina;EPHC;2010;d1;1,6108714
Argentina;EPHC;2010;d10;31,26559
Argentina;EPHC;2010;d10;31,739833
Argentina;EPHC;2010;d2;2,9320625
Argentina;EPHC;2010;d2;2,9674616
Argentina;EPHC;2010;d3;4,0999234
Argentina;EPHC;2010;d3;4,0888259
Argentina;EPHC;2010;d4;5,3187783
Argentina;EPHC;2010;d4;5,3024302
Argentina;EPHC;2010;d5;6,6448732
Argentina;EPHC;2010;d5;6,646824
Argentina;EPHC;2010;d6;8,2044798
Argentina;EPHC;2010;d6;8,2122557
Argentina;EPHC;2010;d7;10,156767
Argentina;EPHC;2010;d7;10,042022
Argentina;EPHC;2010;d8;12,795558
Argentina;EPHC;2010;d8;12,521097
Argentina;EPHC;2010;d9;17,018848
Argentina;EPHC;2010;d9;16,868379
Argentina;EPHC;2010;ratio_10_1;19,9928
Argentina;EPHC;2010;ratio_10_1;19,696773
Argentina;EPHC;2011;d1;1,6838512
Argentina;EPHC;2011;d1;1,7289457
Argentina;EPHC;2011;d10;30,608613
Argentina;EPHC;2011;d10;30,993015
Argentina;EPHC;2011;d2;3,0864441
Argentina;EPHC;2011;d2;3,0697346
Argentina;EPHC;2011;d3;4,2169663
Argentina;EPHC;2011;d3;4,202485
Argentina;EPHC;2011;d4;5,4341628
Argentina;EPHC;2011;d4;5,4162887
Argentina;EPHC;2011;d5;6,7611154
Argentina;EPHC;2011;d5;6,7219775
Argentina;EPHC;2011;d6;8,3089217
Argentina;EPHC;2011;d6;8,286608
Argentina;EPHC;2011;d7;10,223907
Argentina;EPHC;2011;d7;10,105652
Argentina;EPHC;2011;d8;12,771059
Argentina;EPHC;2011;d8;12,630355
Argentina;EPHC;2011;d9;16,904959
Argentina;EPHC;2011;d9;16,844939
Argentina;EPHC;2011;ratio_10_1;18,173278
Argentina;EPHC;2011;ratio_10_1;17,9221
Argentina;EPHC;2012;d1;1,7296157
Argentina;EPHC;2012;d1;1,7552575
Argentina;EPHC;2012;d10;29,833128
Argentina;EPHC;2012;d10;29,740746
Argentina;EPHC;2012;d2;3,1103476
Argentina;EPHC;2012;d2;3,2276698
Argentina;EPHC;2012;d3;4,2683745
Argentina;EPHC;2012;d3;4,3637758
Argentina;EPHC;2012;d4;5,5478876
Argentina;EPHC;2012;d4;5,5598398
Argentina;EPHC;2012;d5;6,9500206
Argentina;EPHC;2012;d5;6,8825703
Argentina;EPHC;2012;d6;8,5376276
Argentina;EPHC;2012;d6;8,4828186
Argentina;EPHC;2012;d7;10,378348
Argentina;EPHC;2012;d7;10,351679
Argentina;EPHC;2012;d8;12,826201
Argentina;EPHC;2012;d8;12,812349
Argentina;EPHC;2012;d9;16,818449
Argentina;EPHC;2012;d9;16,823294
Argentina;EPHC;2012;ratio_10_1;17,244988
Argentina;EPHC;2012;ratio_10_1;16,943089
Argentina;EPHC;2013;d1;1,8036504
Argentina;EPHC;2013;d1;1,803061
Argentina;EPHC;2013;d10;30,492379
Argentina;EPHC;2013;d10;29,445773
Argentina;EPHC;2013;d2;3,1614878
Argentina;EPHC;2013;d2;3,2333153
Argentina;EPHC;2013;d3;4,3393653
Argentina;EPHC;2013;d3;4,3794325
Argentina;EPHC;2013;d4;5,5644297
Argentina;EPHC;2013;d4;5,6095273
Argentina;EPHC;2013;d5;6,8414042
Argentina;EPHC;2013;d5;6,9768601
Argentina;EPHC;2013;d6;8,4124434
Argentina;EPHC;2013;d6;8,5568339
Argentina;EPHC;2013;d7;10,279182
Argentina;EPHC;2013;d7;10,40715
Argentina;EPHC;2013;d8;12,637077
Argentina;EPHC;2013;d8;12,838672
Argentina;EPHC;2013;d9;16,468581
Argentina;EPHC;2013;d9;16,749376
Argentina;EPHC;2013;ratio_10_1;16,899247
Argentina;EPHC;2013;ratio_10_1;16,320787
Argentina;EPHC;2014;d1;1,8503332
Argentina;EPHC;2014;d1;1,8468011
Argentina;EPHC;2014;d10;29,614636
Argentina;EPHC;2014;d10;30,054862
Argentina;EPHC;2014;d2;3,2652005
Argentina;EPHC;2014;d2;3,2075217
Argentina;EPHC;2014;d3;4,3652983
Argentina;EPHC;2014;d3;4,3024119
Argentina;EPHC;2014;d4;5,5604684
Argentina;EPHC;2014;d4;5,4235623
Argentina;EPHC;2014;d5;6,8846437
Argentina;EPHC;2014;d5;6,7969928
Argentina;EPHC;2014;d6;8,4363309
Argentina;EPHC;2014;d6;8,3462061
Argentina;EPHC;2014;d7;10,309924
Argentina;EPHC;2014;d7;10,266712
Argentina;EPHC;2014;d8;12,861944
Argentina;EPHC;2014;d8;12,824594
Argentina;EPHC;2014;d9;16,851221
Argentina;EPHC;2014;d9;16,930336
Argentina;EPHC;2014;ratio_10_1;16,002282
Argentina;EPHC;2014;ratio_10_1;16,2724
Argentina;EPHC;2015;d1;1,8963051
Argentina;EPHC;2015;d10;29,418488
Argentina;EPHC;2015;d2;3,2636435
Argentina;EPHC;2015;d3;4,3781628
Argentina;EPHC;2015;d4;5,560706
Argentina;EPHC;2015;d5;6,913836
Argentina;EPHC;2015;d6;8,4860764
Argentina;EPHC;2015;d7;10,379415
Argentina;EPHC;2015;d8;12,87936
Argentina;EPHC;2015;d9;16,824006
Argentina;EPHC;2015;ratio_10_1;15,51012
Argentina;EPHC;2016;d1;1,7665802
Argentina;EPHC;2016;d10;30,687695
Argentina;EPHC;2016;d2;3,135355
Argentina;EPHC;2016;d3;4,2685265
Argentina;EPHC;2016;d4;5,4501381
Argentina;EPHC;2016;d5;6,7748366
Argentina;EPHC;2016;d6;8,3037756
Argentina;EPHC;2016;d7;10,115108
Argentina;EPHC;2016;d8;12,699341
Argentina;EPHC;2016;d9;16,798644
Argentina;EPHC;2016;ratio_10_1;17,364664
Argentina;EPHC;2017;d1;1,6478872
Argentina;EPHC;2017;d1;1,7839307
Argentina;EPHC;2017;d10;30,129886
Argentina;EPHC;2017;d10;29,93034
Argentina;EPHC;2017;d2;3,1530456
Argentina;EPHC;2017;d2;3,2633025
Argentina;EPHC;2017;d3;4,3228395
