country;region;year;indicator;value
Argentina;28 main cities;2005;headcount_urban_USD6.85;23,089005
Argentina;28 main cities;2005;headcount_urban_USD6.85;20,962709
Argentina;28 main cities;2006;headcount_national_USD2.15;2,6825971
Argentina;28 main cities;2006;headcount_national_USD2.15;2,1735891
Argentina;28 main cities;2006;headcount_national_USD3.65;7,1202234
Argentina;28 main cities;2006;headcount_national_USD3.65;6,0294248
Argentina;28 main cities;2006;headcount_national_USD6.85;19,412554
Argentina;28 main cities;2006;headcount_national_USD6.85;16,902942
Argentina;28 main cities;2006;headcount_urban_USD2.15;2,6825971
Argentina;28 main cities;2006;headcount_urban_USD2.15;2,1735891
Argentina;28 main cities;2006;headcount_urban_USD3.65;7,1202234
Argentina;28 main cities;2006;headcount_urban_USD3.65;6,0294248
Argentina;28 main cities;2006;headcount_urban_USD6.85;19,412554
Argentina;28 main cities;2006;headcount_urban_USD6.85;16,902942
Argentina;28 main cities;2007;headcount_national_USD2.15;1,8701652
Argentina;28 main cities;2007;headcount_national_USD2.15;1,7975101
Argentina;28 main cities;2007;headcount_national_USD3.65;5,2812224
Argentina;28 main cities;2007;headcount_national_USD3.65;4,993618
Argentina;28 main cities;2007;headcount_national_USD6.85;15,772861
Argentina;28 main cities;2007;headcount_national_USD6.85;15,574546
Argentina;28 main cities;2007;headcount_urban_USD2.15;1,8701652
Argentina;28 main cities;2007;headcount_urban_USD2.15;1,7975101
Argentina;28 main cities;2007;headcount_urban_USD3.65;5,2812224
Argentina;28 main cities;2007;headcount_urban_USD3.65;4,993618
Argentina;28 main cities;2007;headcount_urban_USD6.85;15,772861
Argentina;28 main cities;2007;headcount_urban_USD6.85;15,574546
Argentina;28 main cities;2008;headcount_national_USD2.15;1,8179466
Argentina;28 main cities;2008;headcount_national_USD2.15;1,6375881
Argentina;28 main cities;2008;headcount_national_USD3.65;5,0573973
Argentina;28 main cities;2008;headcount_national_USD3.65;4,7997753
Argentina;28 main cities;2008;headcount_national_USD6.85;14,476835
Argentina;28 main cities;2008;headcount_national_USD6.85;14,229777
Argentina;28 main cities;2008;headcount_urban_USD2.15;1,8179466
Argentina;28 main cities;2008;headcount_urban_USD2.15;1,6375881
Argentina;28 main cities;2008;headcount_urban_USD3.65;5,0573973
Argentina;28 main cities;2008;headcount_urban_USD3.65;4,7997753
Argentina;28 main cities;2008;headcount_urban_USD6.85;14,476835
Argentina;28 main cities;2008;headcount_urban_USD6.85;14,229777
Argentina;28 main cities;2009;headcount_national_USD2.15;1,8225918
Argentina;28 main cities;2009;headcount_national_USD2.15;1,5534867
Argentina;28 main cities;2009;headcount_national_USD3.65;4,5980431
Argentina;28 main cities;2009;headcount_national_USD3.65;4,0624783
Argentina;28 main cities;2009;headcount_national_USD6.85;13,618903
Argentina;28 main cities;2009;headcount_national_USD6.85;12,876199
Argentina;28 main cities;2009;headcount_urban_USD2.15;1,8225918
Argentina;28 main cities;2009;headcount_urban_USD2.15;1,5534867
Argentina;28 main cities;2009;headcount_urban_USD3.65;4,5980431
Argentina;28 main cities;2009;headcount_urban_USD3.65;4,0624783
Argentina;28 main cities;2009;headcount_urban_USD6.85;13,618903
Argentina;28 main cities;2009;headcount_urban_USD6.85;12,876199
Argentina;28 main cities;2010;headcount_national_USD2.15;0,96846652
Argentina;28 main cities;2010;headcount_national_USD2.15;0,74654093
Argentina;28 main cities;2010;headcount_national_USD3.65;3,5789394
Argentina;28 main cities;2010;headcount_national_USD3.65;3,1499162
